OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Dungasara B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Garroli B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Hyder B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Jalalpur B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Jaleshwar B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Jheela B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Kachnar B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Kariyya Rai B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Kjajuriya Kala B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Kukretha B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Mathner B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Mudra Bhadra B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Naisarai B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Narayanpur B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Patkheda B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Pilighata B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Pipri B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Raje Bamora B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Rajpur B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Raosar B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Ratikheda B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Renjha B.O,Branch Post Office,473330,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Rijoda B.O,Branch Post Office,473331,,ASHOKNAGAR,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
